code,iso,country,EPI.baseline,HLT.baseline,AIR.baseline,H2O.baseline,HMT.baseline,ECO.baseline,BDH.baseline,FRT.baseline,FSH.baseline,CCE.baseline,APE.baseline,WRS.baseline,AGR.baseline,HAD.baseline,PME.baseline,PMW.baseline,USD.baseline,UWD.baseline,PBD.baseline,MPA.baseline,TBN.baseline,TBG.baseline,SPI.baseline,PAR.baseline,SHI.baseline,TCL.baseline,FSS.baseline,MTR.baseline,DCT.baseline,DPT.baseline,DMT.baseline,DNT.baseline,DBT.baseline,DST.baseline,DXT.baseline,WWT.baseline,SNM.baseline
600,PRY,Paraguay,51.28,56.94,67.8,36.42,38.89,47.51,48.56,4.29,,52.24,60.46,46.8,75.77,21.05,100,97.92,36.75,36.09,38.89,,38.36,43.42,71.58,23.1,58.63,4.29,,,71.35,61.81,10.12,14.17,29.47,73.21,47.71,46.8,75.77
604,PER,Peru,57.55,52.53,56.37,42.22,64.51,60.89,75.02,39.16,61.56,53.02,58.21,88.49,29.7,24.87,78.45,76.3,39.52,44.92,64.51,72.9,85.36,81.68,65.87,46.78,91.82,39.16,95.4,27.73,64.79,51.04,30.54,34.49,51.7,46.79,69.64,88.49,29.7
608,PHL,Philippines,57.07,52.12,62,34.02,32.43,60.37,79.66,30.06,69.77,52.07,71.47,60.34,33.45,10.28,100,92.95,36.22,31.81,32.43,85.48,83.79,89.74,81.43,25.59,90.15,30.06,84.78,54.76,68.64,24.14,38.91,44.26,58.55,71.27,71.67,60.34,33.45
616,POL,Poland,66.4,62.56,60.45,67.99,57.47,68.96,95.55,19.26,58.22,59.96,79.3,92.35,43.37,45.03,67.57,73.89,70.19,65.79,57.47,100,100,100,99.98,61.76,93.79,19.26,16.45,100,74.75,38.61,50.4,35.87,59.85,85.01,73.59,92.35,43.37
620,PRT,Portugal,67.27,84.99,84.41,91.79,51.66,55.46,89.08,0,43.94,37.93,77.28,93.82,6.09,61.33,100,99.61,85.97,97.61,51.66,74.45,100,100,100,53.57,88.33,0,18.57,69.32,35.79,68.97,12.59,27.62,46.83,90.55,64.01,93.82,6.09
634,QAT,Qatar,55.59,70.9,73.71,70.08,39.25,45.38,39.94,,40.8,37.25,49.98,96.13,19.76,100,46.84,65.52,72.73,67.43,39.25,69.46,12.82,12.82,54,1.93,99.24,,81.6,0,4.69,49.02,77.39,97.71,94.84,97.71,2.25,96.13,19.76
178,COG,Republic of Congo,37.61,24.78,32.34,5.89,40,46.16,68.15,48.17,41.06,35.18,52.7,31.97,23.62,5.07,45.04,55.99,5.64,6.14,40,92.45,56.89,57.48,68.08,33.69,98.03,48.17,82.12,0,39.06,33.94,28.34,30.03,33.76,70.23,35.16,31.97,23.62
642,ROU,Romania,62.3,59.49,62.56,52.76,59.91,64.17,56.5,30.89,82.73,65.84,81.28,83.95,48.15,25.74,87.4,86.81,49.65,55.86,59.91,96.32,29.72,40.17,54.77,32.14,90.91,30.89,65.46,100,78.45,51.64,58.74,44.84,45.9,79.92,82.64,83.95,48.15
643,RUS,Russia,64.56,69.67,73.64,59.86,76.94,61.15,66.09,22.4,38.15,62.43,77.98,96.53,47.83,52.86,88.22,86.76,56.93,62.79,76.94,90.92,55.53,61.69,58.32,31.19,96.82,22.4,30.75,45.56,78.11,33.88,48.2,60.88,78.34,77.29,78.67,96.53,47.83
646,RWA,Rwanda,45.48,27.31,37.86,3.56,32.76,57.58,62.69,29.84,,79.68,76.58,0,32.14,2.7,57.07,65.53,3.17,3.94,32.76,,49.77,52.87,78.49,40.44,98.79,29.84,,,100,,35.29,25.91,26.54,78.43,74.73,0,32.14
